timestamp,twelvedata,finage,yahoo_finance
1631499939,34.09000,34.04,34.18
1631500003,34.09000,34.04,34.18
1631500072,34.09000,34.04,34.18
1631500136,34.09000,34.04,34.18
1631500202,34.09000,34.04,34.18
1631500266,34.09000,34.04,34.18
1631500330,34.09000,34.04,34.18
1631500394,34.09000,34.04,34.18
1631500458,34.09000,34.04,34.18
1631500522,34.09000,34.04,34.18
1631500586,34.09000,34.04,34.18
1631500650,34.09000,34.04,34.18
1631500714,34.09000,34.04,34.18
1631500778,34.09000,34.04,34.18
1631500842,34.09000,34.04,34.18
1631500907,34.09000,34.04,34.18
1631500972,34.09000,34.04,34.18
1631501036,34.09000,34.04,34.18
1631501105,34.09000,34.04,34.18
1631501169,34.09000,34.04,34.18
1631501233,34.09000,34.04,34.18
1631501297,34.09000,34.04,34.18
1631501362,34.09000,34.04,34.18
1631501426,34.09000,34.04,34.18
1631501490,34.09000,34.04,34.18
1631501555,34.09000,34.04,34.18
1631501619,34.09000,34.04,34.18
1631501683,34.09000,34.04,34.18
1631501747,34.09000,34.04,34.18
1631501812,34.09000,34.04,34.18
1631501877,34.09000,34.04,34.18
1631501941,34.09000,34.04,34.18
1631502005,34.09000,34.04,34.18
1631502069,34.09000,34.04,34.18
1631502133,34.09000,34.04,34.18
1631502198,34.09000,34.04,34.18
1631502262,34.09000,34.04,34.18
1631502326,34.09000,34.04,34.18
1631502390,34.09000,34.04,34.18
1631502454,34.09000,34.04,34.18
1631502519,34.09000,34.04,34.18
1631502583,34.09000,34.04,34.18
1631502647,34.09000,34.04,34.18
1631502711,34.09000,34.04,34.18
1631502774,34.09000,34.04,34.18
1631502838,34.09000,34.04,34.18
1631502903,34.09000,34.04,34.18
1631502967,34.09000,34.04,34.18
1631503031,34.09000,34.04,34.18
1631503095,34.09000,34.04,34.18
1631503159,34.09000,34.04,34.18
1631503223,34.09000,34.04,34.18
1631503287,34.09000,34.04,34.18
1631503351,34.09000,34.04,34.18
1631503415,34.09000,34.04,34.18
1631503479,34.09000,34.04,34.18
1631503548,34.09000,34.04,34.18
1631503612,34.09000,34.04,34.18
1631503676,34.09000,34.04,34.18
1631503741,34.09000,34.04,34.18
1631503805,34.09000,34.04,34.18
1631503869,34.09000,34.04,34.18
1631503933,34.09000,34.04,34.18
